comparison,layer,character,left_width,right_width,mismatched_cells,cells,exact
fldigi-real-vs-xfhell-real,transmitted-cell,A,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,A,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,B,7,6,28,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,B,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,C,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,C,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,D,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,D,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,E,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,E,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,F,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,F,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,G,7,6,28,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,G,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,H,7,6,36,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,H,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,I,3,4,8,56,False
fldigi-real-vs-xfhell-real,trimmed-glyph,I,1,3,20,30,False
fldigi-real-vs-xfhell-real,transmitted-cell,J,7,6,24,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,J,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,K,7,6,37,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,K,5,5,1,50,False
fldigi-real-vs-xfhell-real,transmitted-cell,L,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,L,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,M,7,6,40,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,M,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,N,7,6,42,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,N,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,O,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,O,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,P,7,6,24,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,P,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,Q,7,6,36,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,Q,5,5,0,60,True
fldigi-real-vs-xfhell-real,transmitted-cell,R,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,R,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,S,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,S,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,T,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,T,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,U,7,6,36,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,U,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,V,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,V,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,W,7,6,46,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,W,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,X,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,X,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,Y,7,6,28,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,Y,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,Z,7,6,20,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,Z,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,0,7,6,34,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,0,5,5,6,50,False
fldigi-real-vs-xfhell-real,transmitted-cell,1,5,4,22,70,False
fldigi-real-vs-xfhell-real,trimmed-glyph,1,3,3,0,30,True
fldigi-real-vs-xfhell-real,transmitted-cell,2,7,6,22,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,2,5,5,0,50,True
fldigi-real-vs-xfhell-real,transmitted-cell,3,7,6,24,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,3,5,5,0,60,True
fldigi-real-vs-xfhell-real,transmitted-cell,4,7,6,32,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,4,5,5,0,55,True
fldigi-real-vs-xfhell-real,transmitted-cell,5,7,6,22,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,5,5,5,0,55,True
fldigi-real-vs-xfhell-real,transmitted-cell,6,7,6,37,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,6,5,5,5,60,False
fldigi-real-vs-xfhell-real,transmitted-cell,7,7,6,22,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,7,5,5,0,55,True
fldigi-real-vs-xfhell-real,transmitted-cell,8,7,6,36,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,8,5,5,0,60,True
fldigi-real-vs-xfhell-real,transmitted-cell,9,7,6,34,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,9,5,5,0,60,True
fldigi-real-vs-xfhell-real,transmitted-cell,+,7,6,16,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,+,5,5,0,40,True
fldigi-real-vs-xfhell-real,transmitted-cell,-,7,6,4,98,False
fldigi-real-vs-xfhell-real,trimmed-glyph,-,5,5,0,10,True
fldigi-real-vs-xfhell-real,transmitted-cell,?,6,5,24,84,False
fldigi-real-vs-xfhell-real,trimmed-glyph,?,4,4,0,48,True
fldigi-real-vs-xfhell-real,transmitted-cell,/,7,6,22,98,False
